,rand_urban_dist,rand_non_urb_dist,leaid,nlscdsch,sch_name,lea_name,lcity,fipst,lstate,cnty,nmcnty,lat,lon,lstreet,lzip,title_one,sch_level,gslo,gshi,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,school_sample
1077,12.0,,4203570,420357006723,Fountain Hill El Sch,BETHLEHEM AREA SD,BETHLEHEM,42,PA,42077,LEHIGH COUNTY,40.598405,-75.39693100000002,1330 Church St,18015,1.0,Elementary,KG,5,86.0,80.0,95.0,94.0,82.0,,,,,,,,1
830,8.0,,2310500,231050000317,Sanford Jr High School,SANFORD PUBLIC SCHOOLS,SANFORD,23,ME,23031,YORK COUNTY,43.450083,-70.786845,708  Main Street,4073,1.0,Middle,6,8,,,,,,176.0,240.0,252.0,,,,,1
815,6.0,,5304230,530423000679,Redmond High,LAKE WASHINGTON SCHOOL DISTRICT,REDMOND,53,WA,53033,KING COUNTY,47.695202,-122.106616,17272 NE 104th,98052,0.0,High,9,12,,,,,,,,,452.0,509.0,474.0,461.0,1
1348,,6.0,4022620,402262001106,OKAY ES,OKAY,OKAY,40,OK,40145,WAGONER COUNTY,35.865695,-95.30629,8611 N  49th Street East,74446,1.0,Elementary,PK,8,23.0,26.0,30.0,22.0,31.0,34.0,15.0,25.0,,,,,1
421,2.0,,1200390,120039003562,BOOKER T. WASHINGTON SENIOR HIGH,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.786123,-80.204196,1200 NW 6TH AVE,33136,1.0,High,9,12,,,,,,,,,254.0,248.0,240.0,234.0,1
693,5.0,,2400480,240048000903,Ridgeview Middle,MONTGOMERY COUNTY PUBLIC SCHOOLS,GAITHERSBURG,24,MD,24031,MONTGOMERY COUNTY,39.12771400000001,-77.249307,16600 Raven Rock Dr,20878,0.0,Middle,6,8,,,,,,228.0,246.0,230.0,,,,,1
1278,14.0,,2400510,240051001043,Glenarden Woods Elementary,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,LANHAM,24,MD,24033,PRINCE GEORGE'S COUNTY,38.93764,-76.869101,7801 Glenarden Parkway,20706,0.0,Elementary,2,5,,114.0,110.0,124.0,121.0,,,,,,,,1
1304,15.0,,643470,64347007033,Gray Avenue Middle,YUBA CITY UNIFIED,YUBA CITY,6,CA,6101,SUTTER COUNTY,39.135422,-121.631032,808 Gray Ave.,95991,1.0,Middle,6,8,,,,,,243.0,262.0,221.0,,,,,1
832,8.0,,2310500,231050023143,Willard School,SANFORD PUBLIC SCHOOLS,SANFORD,23,ME,23031,YORK COUNTY,43.452716,-70.787789,668 Main Street,4073,1.0,Elementary,1,5,37.0,37.0,51.0,156.0,151.0,,,,,,,,1
1345,,5.0,4601026,460102601034,McCook Central Middle School - 03,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,SALEM,46,SD,46087,MCCOOK COUNTY,43.728033,-97.385766,200 E Essex,57058,1.0,Middle,5,8,,,,,24.0,21.0,28.0,18.0,,,,,1
862,9.0,,628650,62865004446,Portola Middle,ORANGE UNIFIED,ORANGE,6,CA,6059,ORANGE COUNTY,33.790056,-117.868079,270 N. Palm Dr.,92868,1.0,Middle,6,8,,,,,,179.0,274.0,259.0,,,,,1
828,7.0,,3614280,361428001174,CENTER STREET SCHOOL,HERRICKS UNION FREE SCHOOL DISTRICT,WILLISTON PARK,36,NY,36059,NASSAU COUNTY,40.757988,-73.656382,240 CENTER ST,11596,1.0,Elementary,KG,5,70.0,84.0,76.0,97.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,1.0,,4108830,410883000094,Milwaukie High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.441119,-122.63751,2301 SE Willard St.,97222,0.0,High,9,12,,,,,,,,,221.0,234.0,219.0,257.0,1
877,10.0,,4820010,482001008729,CLARK MIDDLE,FRISCO ISD,FRISCO,48,TX,48085,COLLIN COUNTY,33.116528,-96.796044,4600 COLBY DR,75035,1.0,Middle,6,8,,,,,,251.0,270.0,270.0,,,,,1
1366,,10.0,601710,60171000038,Adelanto Elementary,ADELANTO ELEMENTARY,ADELANTO,6,CA,6071,SAN BERNARDINO COUNTY,34.575799,-117.408757,17931 Jonathan St.,92301,1.0,Elementary,KG,5,59.0,70.0,56.0,67.0,54.0,,,,,,,,1
858,9.0,,628650,62865004458,West Orange Elementary,ORANGE UNIFIED,ORANGE,6,CA,6059,ORANGE COUNTY,33.785129,-117.865106,243 S. Bush,92868,1.0,Elementary,KG,6,56.0,63.0,55.0,75.0,57.0,0.0,,,,,,,1
1341,,4.0,2103210,210321000858,South Laurel Middle School,LAUREL COUNTY,LONDON,21,KY,21125,LAUREL COUNTY,37.103635,-84.072441,223 S Laurel Rd,40744,1.0,Middle,6,8,,,,,,356.0,333.0,362.0,,,,,1
540,3.0,,2400090,240009000231,Hamilton Elementary/Middle,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.359768,-76.557694,6101 Old Harford Rd,21214,0.0,Elementary,PK,8,57.0,90.0,83.0,86.0,76.0,109.0,104.0,94.0,,,,,1
1159,14.0,,2400510,240051001704,Academy of Health Sciences at PGCC,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,LARGO,24,MD,24033,PRINCE GEORGE'S COUNTY,38.886849,-76.830282,301 Largo Rd,20774,0.0,High,9,12,,,,,,,,,141.0,118.0,111.0,94.0,1
787,6.0,,5304230,530423002062,Alcott Elementary,LAKE WASHINGTON SCHOOL DISTRICT,REDMOND,53,WA,53033,KING COUNTY,47.64680900000001,-122.03756,4213 - 228th AVE NE,98053,0.0,Elementary,KG,5,122.0,138.0,141.0,179.0,160.0,0.0,,,,,,,1
780,6.0,,5304230,530423002983,Stella Schola,LAKE WASHINGTON SCHOOL DISTRICT,REDMOND,53,WA,53033,KING COUNTY,47.67077800000001,-122.15991,13505 NE 75th Street,98052,0.0,Middle,6,8,,,,,,30.0,30.0,30.0,,,,,1
12,1.0,,4108830,410883000084,Riverside Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.404482,-122.639532,16303 SE River Rd,97267,1.0,Elementary,KG,5,71.0,66.0,67.0,86.0,70.0,,,,,,,,1
942,10.0,,4820010,482001013017,SCOTT EL,FRISCO ISD,MCKINNEY,48,TX,48085,COLLIN COUNTY,33.193821,-96.759959,10550 MILLBEND DR,75070,0.0,Elementary,KG,5,107.0,130.0,114.0,126.0,109.0,,,,,,,,1
289,2.0,,1200390,120039000579,RICHMOND HEIGHTS MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.629824,-80.359445,15015 SW 103RD AVE,33176,1.0,Middle,6,8,,,,,,157.0,165.0,188.0,,,,,1
1084,12.0,,4203570,420357003464,Broughal MS,BETHLEHEM AREA SD,BETHLEHEM,42,PA,42095,NORTHAMPTON COUNTY,40.608392,-75.380721,114 West Morton Street,18015,1.0,Middle,6,8,,,,,,164.0,153.0,172.0,,,,,1
